bank,period,period_end,net_profit_cr,nii_cr,nii_growth_yoy_pct,nim_pct,advances_growth_yoy_pct,deposits_growth_yoy_pct,gnpa_pct,nnpa_pct,roa_pct,roe_pct,provisions_cr,status
ICICI Bank,Q1 FY2027,2026-06-30,14800,24380,12.7,4.36,19.6,14.0,1.38,0.36,2.50,18.9,1210,Limited review
HDFC Bank,Q1 FY2027,2026-06-30,19060,33530,6.7,3.26,15.4,13.3,1.17,0.34,1.90,14.4,1080,Limited review
Axis Bank,Q1 FY2027,2026-06-30,7114,14646,8.0,3.46,19.0,6.0,1.28,0.29,1.82,17.2,2222,Limited review
Kotak Mahindra Bank,Q1 FY2027,2026-06-30,4123,7928,9.0,4.65,15.0,12.0,1.18,0.30,2.18,13.8,764,Limited review
Yes Bank,Q1 FY2027,2026-06-30,1070,2790,17.5,2.70,18.3,14.3,1.30,0.30,0.75,7.1,390,Limited review
